alert_id,traveler_id,passport_number,alert_type,severity,issued_by,issued_date,expiry_date,is_active,notes
1,6,SYR78139880,Trafficking,High,UNHCR Referral,2025-07-08,2026-04-18,1,Tip-off received from confidential informant.
2,2703,AFG56759493,Security,Medium,Foreign Government Request,2025-05-24,2027-02-09,1,Tip-off received from confidential informant.
3,97651,AFG53764356,Interpol,Critical,Balochistan Police,2025-11-14,,1,Reported by foreign intelligence liaison.
4,57308,LBY46428652,Security,High,Ministry of Interior,2025-09-18,2026-09-03,1,Reported by foreign intelligence liaison.
5,32841,SYR28561457,Immigration Violation,Low,Ministry of Interior,2025-10-05,,1,Subject flagged during routine screening at Wagah Border.
6,63679,AFG86487080,Immigration Violation,Critical,Border Security Force,2025-05-09,2026-01-20,1,Subject identified through biometric cross-match.
7,28749,PAK35434003,Fraud,High,ISI,2025-03-08,2026-09-19,1,ECL match confirmed during departure screening.
8,59061,PAK38048139,Security,High,UNHCR Referral,2025-11-19,2027-05-28,1,Reported by foreign intelligence liaison.
9,15815,ETH92612053,Security,Critical,ANF (Anti-Narcotics Force),2025-10-09,2026-05-28,0,Subject linked to ongoing investigation case #53083.
10,45517,PAK67812398,Immigration Violation,Medium,KP Police CTD,2025-09-23,,1,ECL match confirmed during departure screening.
11,57603,ETH19393720,Fraud,Medium,NAB (National Accountability Bureau),2025-08-28,,1,Alert raised based on travel pattern analysis.
12,98376,SOM80916852,Immigration Violation,High,FIA Immigration Wing,2025-02-27,2026-02-04,1,Interpol Red Notice reference: A-2285/2025.
13,11407,YEM63794243,Lost Document,Medium,Balochistan Police,2025-08-07,2026-12-23,1,Repeated visa violations across multiple jurisdictions.
14,39975,AFG72375378,Security,Critical,IB (Intelligence Bureau),2025-02-25,2025-09-05,1,Reported by foreign intelligence liaison.
15,49312,PAK17370682,Criminal,High,KP Police CTD,2025-09-27,2026-01-12,1,Alert raised based on travel pattern analysis.
16,13897,YEM17861202,Interpol,Critical,Ministry of Interior,2025-06-07,2025-11-08,0,Alert raised based on travel pattern analysis.
17,43491,AFG96940615,Interpol,Medium,ANF (Anti-Narcotics Force),2025-09-01,,1,Alert raised based on travel pattern analysis.
18,104345,IND59062392,Security,High,KP Police CTD,2025-12-06,2027-10-09,1,Financial transaction monitoring triggered alert.
19,39916,SDN78340904,Criminal,Medium,KP Police CTD,2025-10-17,2026-01-16,1,Repeated visa violations across multiple jurisdictions.
20,49164,SYR22994892,Criminal,High,FIA Counter-Terrorism Wing,2025-08-03,2027-03-24,1,Reported by foreign intelligence liaison.
21,23891,PSE76355662,Criminal,Critical,KP Police CTD,2025-06-12,2026-05-05,1,Reported by foreign intelligence liaison.
22,136469,PAK53319798,ECL,Critical,FIA Cyber Crime Wing,2025-07-12,2025-12-02,0,Subject flagged during routine screening at Chaman Border.
23,106666,MMR65086160,Interpol,Medium,Interpol NCB Islamabad,2025-09-19,2026-09-23,1,Financial transaction monitoring triggered alert.
24,125286,AFG18875527,Criminal,Medium,Sindh Police CTD,2025-07-11,2026-05-03,1,Repeated visa violations across multiple jurisdictions.
25,141670,AFG27061551,Smuggling,Medium,ANF (Anti-Narcotics Force),2025-09-17,2026-01-12,1,Subject flagged during routine screening at Allama Iqbal Airport.
26,53706,TJK36782961,Security,Critical,ISI,2025-10-28,2026-03-22,1,Subject used altered travel documents.
27,77345,PAK46362983,Security,High,FIA Counter-Terrorism Wing,2025-01-28,2025-10-15,0,Interpol Red Notice reference: A-5104/2025.
28,64345,PAK90461674,Criminal,Critical,FIA Cyber Crime Wing,2025-10-05,2026-07-13,0,Multiple entry/exit irregularities within 90-day period.
29,5921,AFG44120323,Interpol,High,Punjab Police CTD,2025-09-10,2027-05-01,1,Document discrepancy detected during verification.
30,82035,IND77129529,Lost Document,Low,ISI,2025-02-10,2026-09-23,1,Multiple entry/exit irregularities within 90-day period.
31,20653,PAK13253821,Security,High,KP Police CTD,2025-05-14,2026-12-31,1,Repeated visa violations across multiple jurisdictions.
32,80573,YEM42240848,Security,Low,KP Police CTD,2025-11-21,2027-07-01,1,Subject used altered travel documents.
33,72625,PAK26106197,Immigration Violation,Low,IB (Intelligence Bureau),2025-12-17,,1,Financial transaction monitoring triggered alert.
34,142725,AFG65081445,Criminal,High,Interpol NCB Islamabad,2025-04-11,2026-02-14,1,ECL match confirmed during departure screening.
35,22234,YEM46046500,Security,Medium,NAB (National Accountability Bureau),2025-04-05,2026-02-14,1,Subject linked to ongoing investigation case #79295.
36,138323,AFG35493167,Interpol,Low,Sindh Police CTD,2025-10-17,2026-03-08,1,Interpol Red Notice reference: A-9253/2025.
37,38061,AFG49726695,Trafficking,Critical,Ministry of Interior,2025-07-27,2027-06-01,1,
38,148821,MMR14685280,Security,High,Interpol NCB Islamabad,2025-11-03,2026-03-29,1,Multiple entry/exit irregularities within 90-day period.
39,135591,LBY21998164,Interpol,Critical,IB (Intelligence Bureau),2025-08-16,2026-01-22,1,ECL match confirmed during departure screening.
40,90672,PAK17456003,Fraud,High,Punjab Police CTD,2025-12-18,2026-04-28,1,
41,22299,IND48350673,Fraud,Medium,FIA Cyber Crime Wing,2025-01-01,2026-01-27,1,
